,coef,std_err,z,p_value,ci_low,ci_high,train_deals,premium_%,ppm2_400m2_2025Q4
الرياض/الهدا,1.1187921545342134,0.057530406275341964,19.44697120996584,3.09161481196175e-84,1.0060325582345433,1.2315517508338836,202,222.7541359783655,7120.698355253657
الرياض/الواحة,1.2954379180012865,0.05126586506431091,25.2690150917421,7.000670511758967e-141,1.1949568224752372,1.3959190135273358,156,285.1129269056328,8496.47666602692
الرياض/الوادي,1.0045627475038672,0.05696104165148026,17.635961674478285,1.3045761080314031e-69,0.8929191058669659,1.1162063891407685,294,187.91388857379033,6352.042388573743
الرياض/الورود,1.0953464426289319,0.060422297471024046,18.12818261593269,1.9096692538398035e-73,0.9769187395857247,1.213774145672139,229,215.27495545246018,6955.69043581051
الرياض/الوزارات,0.661319599935665,0.07078657001489927,9.342444474940224,9.413521032850448e-21,0.5225779227064624,0.8000612771648676,126,104.2650243882619,4506.556108996974
الرياض/الوسام,-1.1675081339811324,0.05201465078384169,-22.445755501329213,1.4079113748085077e-111,-1.269456849517462,-1.0655594184448027,1713,-67.19468463950469,723.7606868242107
الرياض/الياسمين,1.121354286615992,0.051000571511158506,21.987092563671546,3.827379494106195e-107,1.0213931664541214,1.2213154067778627,2426,223.5821349731251,7138.965916914059
الرياض/اليرموك,0.7355170756407429,0.05249356490742602,14.011566502253167,1.3245083271810325e-44,0.6326296884221878,0.8384044628592979,965,119.99740824014017,4853.6486705801335
الرياض/اليمامة,-0.16788968918089836,0.058790614357687614,-2.8557226525894377,0.004293900411029037,-0.28311929332196606,-0.052660085039830634,394,-10.859925727069708,1966.6350001630678
الرياض/ام الحمام,0.5805505749211889,0.061229189528809555,9.481598227721571,2.5041777236285967e-21,0.4605413634447222,0.7005597863976556,318,88.41543109956251,4156.8776377353515
الرياض/ام سليم,-0.11922372826076905,0.08766493642175839,-1.359993323752389,0.17383203659951885,-0.2910470036474155,0.05259954712587739,113,-6.414546352729056,2064.710290518038
الرياض/بدر,-0.06678560698468865,0.05086096843031377,-1.3131013633016786,0.1891487945489796,-0.16647310510810365,0.03290189113872634,3165,-1.3761535344443798,2175.8688209750594
الرياض/بنبان,0.041236803813134756,0.06319636936488321,0.6525185580684499,0.5140667049456713,-0.08262808014203633,0.16510168776830586,55,9.874136135752742,2424.0760791341627
الرياض/ثليم,0.1455772669171837,0.08856882524293339,1.6436626151231337,0.10024591227447002,-0.028017630558965723,0.3191721643933331,107,21.957906539530757,2690.6718387163473
الرياض/جرير,0.6257210572682318,0.05840551503183593,10.713389941466334,8.807638023910625e-27,0.5112462478058334,0.7401958667306302,209,97.1213930201601,4348.95117551042
الرياض/حطين,1.3028478778486487,0.052112462606243234,25.000696813981758,6.007649835425008e-138,1.200707451140412,1.4049883045568854,1015,287.97719718878284,8559.669054351862
الرياض/خنشليلة,0.21587402642564069,0.0749583487095855,2.879919717308757,0.003977764468801213,0.06895566295485311,0.36279238989642826,91,30.83967468912425,2886.624066138133
الرياض/دعكنة,0.05920297605797937,0.08799284055558461,0.6728158300626875,0.5010644655089502,-0.11326299143096646,0.2316689435469252,55,11.865993236800175,2468.021026703417
الرياض/ديراب,-0.09827179791547586,0.05675879890108151,-1.7313931904503945,0.08338166032036026,-0.2095190437615956,0.012975447930643896,663,-4.43306500288646,2108.426325158521
الرياض/سدرة,0.8074016336934693,0.056539450338931325,14.28032336454317,2.902515096714751e-46,0.6965843110291638,0.9182189563577747,136,136.39409907507974,5215.397371665046
الرياض/سكيرينة,-0.03258034582292557,0.1098611501462953,-0.29655930034903455,0.7668029872611167,-0.24790820010966436,0.1827475084638132,53,2.055659323013481,2251.5825034521677
الرياض/سلطانة,-0.025707122350100305,0.07054146875321886,-0.36442567477626087,0.7155401659950134,-0.16396840110640926,0.11255415640620864,174,2.759526824563796,2267.111438954148
الرياض/شبرا,0.2171412209914626,0.06184631229592317,3.5109808965243072,0.00044645648079843787,0.0959224488914532,0.338359993091472,278,31.005579108272883,2890.284299092178
